ID,Common_name,Latitude,Longitude
4370,Reindeer / Caribou,51,-118.18333
4371,Reindeer / Caribou,52,-118.18333
4372,Reindeer / Caribou,51.95,-118.03333
4373,Reindeer / Caribou,52,-118.18333
4374,Reindeer / Caribou,52.41667,-120.25
4375,Reindeer / Caribou,53.06667,-121.51667
4376,Reindeer / Caribou,52.5,-121
4377,Reindeer / Caribou,53.91667,-122.76667
4378,Reindeer / Caribou,53.56667,-121.9
4379,Reindeer / Caribou,53.56667,-121.9
4380,Reindeer / Caribou,48.95,-57.93333
4382,Red deer / Elk,51.083333,-115.083333
4383,Red deer / Elk,51.08333,-115.08333
4384,Red deer / Elk,51.08333,-115.08333
4385,North American deermouse / deer mouse,51.1,-115.35
4386,North American deermouse / deer mouse,51.1,-115.35
4394,Mule deer,49.2,-117.06667
4395,White-tailed deer,49.2,-117.06667
4396,Mule deer,49.2,-117.06667
4397,White-tailed deer,49.2,-117.06667
4398,American bison / Wood bison / Plains bison,52.98333,-118.10238
4399,Reindeer / Caribou,68,-138
